"","model","AIC","cv_total_log_likelihood"
"1","Null",1839.80636871257,-952.774802679032
"2","Spatiotemporal",1810.63007252505,-967.983905339108
"3","Spatiotemporal, AR1",1812.32463913108,-939.479945958019
"4","Spatiotemporal, AR1 + SST + Dist",1810.69196266631,-940.787972331795
